product_id,name_en,name_am,name_oro,brand,category,price,specification,description_en,image_url
1,Bluetooth Speaker Anker Model 1,Bluetooth Speaker (Anker) ??? 1,Bluetooth Speaker (Anker) Moodeela 1,Anker,Audio Devices,13937,"Portable, Waterproof, 24hr Battery, Deep Bass",High-quality bluetooth speaker by Anker suitable for daily use.,https://i.imgur.com/UzQZ3tZ.jpeg
2,Smartwatch Huawei Model 2,Smartwatch (Huawei) ??? 2,Smartwatch (Huawei) Moodeela 2,Huawei,Wearables,32718,"AMOLED Display, Heart Rate Monitor, GPS, Waterproof",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/qY4BHDv.jpeg
3,Camera Sony Model 3,Camera (Sony) ??? 3,Camera (Sony) Moodeela 3,Sony,Photography,34980,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Sony suitable for daily use.,https://i.imgur.com/B643TFf.jpeg
4,Camera Nikon Model 4,Camera (Nikon) ??? 4,Camera (Nikon) Moodeela 4,Nikon,Photography,43961,"20MP Mirrorless, Touchscreen, Fast Focus",High-quality camera by Nikon suitable for daily use.,https://i.imgur.com/nnn6OZG.jpeg
5,Laptop HP Model 5,Laptop (HP) ??? 5,Laptop (HP) Moodeela 5,HP,Computers,100733,"M1 Chip, 8GB RAM, 256GB SSD",High-quality laptop by HP suitable for daily use.,https://i.imgur.com/7fEszrV.jpeg
6,Bluetooth Speaker Sony Model 6,Bluetooth Speaker (Sony) ??? 6,Bluetooth Speaker (Sony) Moodeela 6,Sony,Audio Devices,18987,"Mini Speaker, Bluetooth 5.0, Rechargeable",High-quality bluetooth speaker by Sony suitable for daily use.,https://i.imgur.com/iX8HPCP.jpeg
7,Headphones Anker Model 7,Headphones (Anker) ??? 7,Headphones (Anker) Moodeela 7,Anker,Audio Devices,20423,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/Z8aQw1P.jpeg
8,Smartphone Apple Model 8,Smartphone (Apple) ??? 8,Smartphone (Apple) Moodeela 8,Apple,Mobile Phones,27318,"6.1-inch OLED, 256GB Storage, A16 Bionic Chip",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/LvMYT7e.jpeg
9,Television Sony Model 9,Television (Sony) ??? 9,Television (Sony) Moodeela 9,Sony,Home Electronics,74307,"43-inch LED, Full HD, HDMI & USB",High-quality television by Sony suitable for daily use.,https://i.imgur.com/Urolhjy.jpeg
10,Microwave Oven Samsung Model 10,Microwave Oven (Samsung) ??? 10,Microwave Oven (Samsung) Moodeela 10,Samsung,Kitchen Appliances,17384,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/Df3jKK3.jpeg
11,Headphones Apple Model 11,Headphones (Apple) ??? 11,Headphones (Apple) Moodeela 11,Apple,Audio Devices,17413,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Apple suitable for daily use.,https://i.imgur.com/gPElYgU.jpeg
12,Smartwatch Huawei Model 12,Smartwatch (Huawei) ??? 12,Smartwatch (Huawei) Moodeela 12,Huawei,Wearables,31290,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/qMla3GR.jpeg
13,Smartwatch Xiaomi Model 13,Smartwatch (Xiaomi) ??? 13,Smartwatch (Xiaomi) Moodeela 13,Xiaomi,Wearables,30675,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Xiaomi suitable for daily use.,https://i.imgur.com/hRw0CqG.jpeg
14,Smartphone Infinix Model 14,Smartphone (Infinix) ??? 14,Smartphone (Infinix) Moodeela 14,Infinix,Mobile Phones,98970,"6.1-inch OLED, 256GB Storage, A16 Bionic Chip",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/jE0c8CK.jpeg
15,Refrigerator Hisense Model 15,Refrigerator (Hisense) ??? 15,Refrigerator (Hisense) Moodeela 15,Hisense,Home Appliances,54302,"Single Door, 200L, Energy Saving",High-quality refrigerator by Hisense suitable for daily use.,https://i.imgur.com/D1Cus1I.jpeg
16,Smartwatch Huawei Model 16,Smartwatch (Huawei) ??? 16,Smartwatch (Huawei) Moodeela 16,Huawei,Wearables,23908,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/6CnTP7q.jpeg
17,Smartphone Apple Model 17,Smartphone (Apple) ??? 17,Smartphone (Apple) Moodeela 17,Apple,Mobile Phones,108115,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/DEUvlJA.jpeg
18,Smartwatch Samsung Model 18,Smartwatch (Samsung) ??? 18,Smartwatch (Samsung) Moodeela 18,Samsung,Wearables,25176,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Samsung suitable for daily use.,https://i.imgur.com/gnYRhCT.jpeg
19,Smartphone Apple Model 19,Smartphone (Apple) ??? 19,Smartphone (Apple) Moodeela 19,Apple,Mobile Phones,86447,"6.5-inch Display, 128GB Storage, 8GB RAM, 5000mAh Battery",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/6c76N0U.jpeg
20,Headphones Sony Model 20,Headphones (Sony) ??? 20,Headphones (Sony) Moodeela 20,Sony,Audio Devices,11016,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Sony suitable for daily use.,https://i.imgur.com/uEkF169.jpeg
21,Laptop Dell Model 21,Laptop (Dell) ??? 21,Laptop (Dell) Moodeela 21,Dell,Computers,111824,"Ryzen 5, 8GB RAM, 512GB SSD",High-quality laptop by Dell suitable for daily use.,https://i.imgur.com/DlOpEgl.jpeg
22,Television Sony Model 22,Television (Sony) ??? 22,Television (Sony) Moodeela 22,Sony,Home Electronics,59845,"55-inch 4K UHD, Smart TV, HDR10",High-quality television by Sony suitable for daily use.,https://i.imgur.com/9UG9DYU.jpeg
23,Television Sony Model 23,Television (Sony) ??? 23,Television (Sony) Moodeela 23,Sony,Home Electronics,112904,"43-inch LED, Full HD, HDMI & USB",High-quality television by Sony suitable for daily use.,https://i.imgur.com/RDHTVUB.jpeg
24,Smartphone Infinix Model 24,Smartphone (Infinix) ??? 24,Smartphone (Infinix) Moodeela 24,Infinix,Mobile Phones,107026,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/fBX2DzS.jpeg
25,Laptop Asus Model 25,Laptop (Asus) ??? 25,Laptop (Asus) Moodeela 25,Asus,Computers,114157,"Intel Core i5, 8GB RAM, 512GB SSD",High-quality laptop by Asus suitable for daily use.,https://i.imgur.com/FvbMvHa.jpeg
